,first_name,genders,use,descriptions
283,Cúchulainn,m,Irish Mythology,"Cúchulainn m Irish MythologyMeans ""hound of Culann"" in Irish. This was the usual name of the warrior hero who was named Sétanta at birth, given to him because he took the place of one of Culann's hounds after he accidentally killed it. Irish legend tells of Cúchulainn's many adventures, including his single-handed defense of Ulster against the army of Queen Medb."
284,Culhwch,m,Welsh,"Culhwch m Welsh, Welsh MythologyMeans ""hiding place of the pig"" in Welsh. In Welsh legend he was the lover of Olwen the daughter of the giant Yspaddaden. Before the giant would allow Culhwch to marry his daughter, he insisted that Culhwch complete a series of extremely difficult tasks. Culhwch managed to complete them, and he returned to marry Olwen and kill the giant. This tale appears in the Mabinogion, a collection of tales from Welsh myth."
285,Cupid,m,Roman Mythology (Anglicized),"Cupid m Roman Mythology (Anglicized)From the Latin Cupido meaning ""desire"". This was the name of the Roman god of love, the son of Venus and Mars. He was portrayed as a winged, blindfolded boy, armed with a bow and arrows, which caused the victim to fall in love. His Greek equivalent was Eros."
286,Cupido,m,Roman Mythology,Cupido m Roman MythologyLatin form of Cupid.
287,Cybele,f,Near Eastern Mythology (Latinized),"Cybele f Near Eastern Mythology (Latinized)Meaning unknown, possibly from Phrygian roots meaning either ""stone"" or ""hair"". This was the name of the Phrygian mother goddess associated with fertility and nature. She was later worshipped by the Greeks and Romans."
288,Cynthia,f,English,"Cynthia f English, Greek Mythology (Latinized)Latinized form of Greek Κυνθία (Kynthia), which means ""woman from Kynthos"". This was an epithet of the Greek moon goddess Artemis, given because Kynthos was the mountain on Delos on which she and her twin brother Apollo were born. It was not used as a given name until the Renaissance, and it did not become common in the English-speaking world until the 19th century. It reached a peak of popularity in the United States in 1957 and has declined steadily since then."
289,Daedalus,m,Greek Mythology (Latinized),"Daedalus m Greek Mythology (Latinized)Latinized form of the Greek Δαίδαλος (Daidalos), which was derived from δαιδάλλω (daidallo) meaning ""to work cunningly"". In Greek myth Daedalus was an Athenian inventor who was banished to Crete. There he designed the Labyrinth for King Minos, but he and his son Icarus were eventually imprisoned inside it because he had aided Theseus in his quest against the Minotaur. Daelalus and Icarus escaped using wings fashioned from wax, but Icarus fell from the sky to his death."
290,Dagan,m,Semitic Mythology,Dagan m Semitic MythologyVariant of Dagon.
291,Dagda,m,Irish Mythology,"Dagda m Irish MythologyMeans ""good god"" in Celtic. In Irish myth Dagda (called also The Dagda) was the powerful god of the earth, knowledge, magic, abundance and treaties, a leader of the Tuatha De Danann. He was skilled in combat and healing and possessed a huge club, the handle of which could revive the dead."
292,Dagon,m,Semitic Mythology,"Dagon m Semitic MythologyPerhaps related to Ugaritic dgn meaning ""grain"". This was the name of a Semitic god of agriculture, usually depicted with the body of a fish."
293,Daidalos,m,Greek Mythology,Daidalos m Greek MythologyGreek form of Daedalus.
294,Dáire,m,Irish,"Dáire m Irish, Irish MythologyMeans ""fruitful, fertile"" in Irish. This name is borne by many figures in Irish legend, including the Ulster chief who reneged on his promise to loan the Brown Bull of Cooley to Medb, starting the war between Connacht and Ulster as told in the Irish epic The Cattle Raid of Cooley."
295,Daireann,f,Irish Mythology,Daireann f Irish MythologyVariant of Doireann.
296,Dalia 2,f,Lithuanian,"Dalia 2 f Lithuanian, Baltic MythologyFrom Lithuanian dalis meaning ""portion, share"". This was the name of the Lithuanian goddess of weaving, fate and childbirth, often associated with Laima."
297,Damayanti,f,Hinduism,"Damayanti f HinduismMeans ""subduing"" in Sanskrit. In the Hindu epic the Mahabharata this is the name of a beautiful princess, the wife of Nala."
298,Damocles,m,Greek Mythology (Latinized),"Damocles m Greek Mythology (Latinized)Latinized form of the Greek name Δαμοκλῆς (Damokles), which was derived from δᾶμος (damos) meaning ""the people"", a Doric Greek variant of δῆμος (demos), and κλέος (kleos) meaning ""glory"". In Greek legend Damocles was a member of the court of Dionysius the Elder, the king of Syracuse. Damocles expressed envy of the king's station so Dionysius offered to switch roles with him for a day. To illustrate to Damocles the peril of a man in his position he suspended a sword over the throne."
299,Damodara,m,Hinduism,"Damodara m HinduismMeans ""rope around the belly"", derived from Sanskrit दाम (dama) meaning ""rope"" and उदर (udara) meaning ""belly"". This is another name of the Hindu god Krishna, given to him because his foster-mother tied him to a large urn."
300,Damokles,m,Greek Mythology,Damokles m Greek MythologyGreek form of Damocles.
301,Damon,m,Greek Mythology,"Damon m Greek Mythology, EnglishDerived from Greek δαμάζω (damazo) meaning ""to tame"". According to Greek legend, Damon and Pythias were friends who lived on Syracuse in the 4th century BC. When Pythias was sentenced to death, he was allowed to temporarily go free on the condition that Damon take his place in prison. Pythias returned just before Damon was to be executed in his place, and the king was so impressed with their loyalty to one another that he pardoned Pythias. As an English given name, it has only been regularly used since the 20th century."
302,Danaë,f,Greek Mythology,"Danaë f Greek MythologyFrom Δαναοί (Danaoi), a word used by Homer to designate the Greeks. In Greek mythology Danaë was the daughter of the Argive king Acrisius. It had been prophesized to her father that he would one day be killed by Danaë's son, so he attempted to keep his daughter childless. However, Zeus came to her in the form of a shower of gold, and she became the mother of Perseus. Eventually the prophecy was fulfilled and Perseus killed Acrisius, albeit accidentally."
303,Daphne,f,Greek Mythology,"Daphne f Greek Mythology, English, DutchMeans ""laurel"" in Greek. In Greek mythology she was a nymph turned into a laurel tree by her father in order that she might escape the pursuit of Apollo. It has been used as a given name in the English-speaking world since the end of the 19th century."
304,Dardanos,m,Greek Mythology,"Dardanos m Greek MythologyPossibly from Greek δαρδάπτω (dardapto) meaning ""to devour"". In Greek mythology Dardanos was a son of Zeus and Electra. He was the founder of the city of Dardania in Asia Minor."
305,Dazbog,m,Slavic Mythology,Dazbog m Slavic MythologyVariant of Dazhdbog.
306,Dazhdbog,m,Slavic Mythology,"Dazhdbog m Slavic MythologyPossibly means ""the giving god"" in Slavic. He was a Slavic god of the sun and light, a son of Svarog. In some myths he is the ancestor of the Russian people."
307,Deianeira,f,Greek Mythology,"Deianeira f Greek MythologyFrom Greek δηιόω (deioo) meaning ""to slay"" and ἀνήρ (aner) meaning ""man"". In Greek mythology this was the name of the wife of Herakles. She unwittingly poisoned her husband by giving him the Shirt of Nessus."
308,Deianira,f,Greek Mythology (Latinized),Deianira f Greek Mythology (Latinized)Latinized form of Deianeira.
309,Deimos,m,Greek Mythology,"Deimos m Greek MythologyMeans ""terror"" in Greek. This was one of the sons of the Greek god Ares. Also, a moon of Mars bears this name."
310,Deirdre,f,English,"Deirdre f English, Irish, Irish MythologyFrom the older Gaelic form Derdriu, meaning unknown, possibly derived from Old Irish der meaning ""daughter"". This was the name of a tragic character in Irish legend who died of a broken heart after Conchobhar, the king of Ulster, forced her to be his bride and killed her lover Naoise.... [more]"
311,Delia 1,f,English,"Delia 1 f English, Italian, Spanish, Romanian, Greek MythologyMeans ""of Delos"" in Greek. This was an epithet of the Greek goddess Artemis, given because she and her twin brother Apollo were born on the island of Delos. The name appeared in several poems of the 16th and 17th centuries, and it has occasionally been used as a given name since that time."
312,Demeter 1,f,Greek Mythology,"Demeter 1 f Greek MythologyPossibly means ""earth mother"", derived from Greek δᾶ (da) meaning ""earth"" and μήτηρ (meter) meaning ""mother"". In Greek mythology Demeter was the goddess of agriculture, the daughter of Cronus, the sister of Zeus, and the mother of Persephone. She was an important figure in the Eleusinian Mysteries, which were secret rites performed at Eleusis near Athens."
313,Demophon,m,Ancient Greek,"Demophon m Ancient Greek, Greek MythologyDerived from Greek δῆμος (demos) meaning ""the people"" and φωνή (phone) meaning ""voice"". In Greek mythology this was the name of the son of Theseus and Phaedra."
314,Derdriu,f,Irish Mythology,Derdriu f Irish MythologyOlder form of Deirdre.
315,Despoina,f,Greek Mythology,"Despoina f Greek Mythology, GreekMeans ""mistress, lady"" in Greek. In Greek mythology this was the name of the daughter of Demeter and Poseidon. She was worshipped in the Eleusinian Mysteries, which were secret rites practiced at Eleusis near Athens."
316,Devaraja,m,Hinduism,"Devaraja m HinduismMeans ""king of gods"" from Sanskrit देव (deva) meaning ""god"" and राज (raja) meaning ""king"". This is another name of the Hindu god Indra."
317,Devi,f,Hinduism,"Devi f Hinduism, Indian, Hindi, TamilDerived from Sanskrit देवी (devi) meaning ""goddess"". Devi is the Hindu mother goddess who manifests herself as all other goddesses."
318,Diana,f,English,"Diana f English, Spanish, Italian, Portuguese, Romanian, Catalan, German, Dutch, Danish, Swedish, Norwegian, Russian, Ukrainian, Bulgarian, Estonian, Lithuanian, Polish, Czech, Slovak, Roman MythologyProbably derived from an old Indo-European root meaning ""heavenly, divine"", related to dyeus (see Zeus). Diana was a Roman goddess of the moon, hunting, forests, and childbirth, often identified with the Greek goddess Artemis.... [more]"
319,Diarmaid,m,Irish,"Diarmaid m Irish, Irish MythologyPerhaps means ""without envy"" in Irish. In Irish mythology this was the name of a warrior who became the lover of Gráinne. It was also the name of several ancient Irish kings."
320,Diarmait,m,Irish Mythology,Diarmait m Irish MythologyVariant of Diarmaid.
321,Diarmuid,m,Irish,"Diarmuid m Irish, Irish MythologyVariant of Diarmaid."
322,Dido,f,Roman Mythology,"Dido f Roman Mythology, Greek MythologyMeaning unknown, probably of Phoenician origin. Dido, also called Elissa, was the queen of Carthage in Virgil's Aeneid. She threw herself upon a funeral pyre after Aeneas left her. Virgil based the story on earlier Greco-Roman accounts."
323,Dike,f,Greek Mythology,"Dike f Greek MythologyMeans ""justice"" in Greek. In Greek mythology Dike was the goddess of justice, one of the Ὥραι (Horai)."
324,Dilipa,m,Hinduism,"Dilipa m HinduismMeans ""protector of Delhi"" from Sanskrit दिल्ली (see Delhi) combined with प (pa) meaning ""protecting"". This is the name of several kings in Hindu texts."
325,Dinesha,m,Hinduism,"Dinesha m HinduismMeans ""day lord"" from Sanskrit दिन (dina) meaning ""day"" and ईश (isha) meaning ""lord"". In Hindu texts this is used as a name of the sun."
326,Diomedes,m,Greek Mythology,"Diomedes m Greek MythologyDerived from Greek Διός (Dios) meaning ""of Zeus"" and μήδεα (medea) meaning ""plans, counsel, cunning"". In Greek legend Diomedes was one of the greatest heroes who fought against the Trojans. With Odysseus he entered Troy and stole the Palladium. After the Trojan War he founded the cities of Brindisi and Arpi in Italy."
327,Dione 1,f,Greek Mythology,"Dione 1 f Greek MythologyFrom Greek Διός (Dios) meaning ""of Zeus"". By extension, it means ""goddess"". This was the name of an obscure Greek goddess who, according to some legends, was the mother of Aphrodite."
328,Dionysos,m,Greek Mythology,"Dionysos m Greek MythologyFrom Greek Διός (Dios) meaning ""of Zeus"" combined with Nysa, the name of the region where young Dionysos was said to have been raised. In Greek mythology Dionysos was the god of wine, revelry, fertility and dance. He was the son of Zeus and Semele."
329,Dionysus,m,Greek Mythology (Latinized),Dionysus m Greek Mythology (Latinized)Latin form of Dionysos.
330,Dipaka,m,Hinduism,"Dipaka m HinduismMeans ""inflaming, exciting"" in Sanskrit. This is another name of Kama, the Hindu god of love."
331,Dismas,m,Judeo-Christian Legend,"Dismas m Judeo-Christian LegendDerived from Greek δυσμή (dysme) meaning ""sunset"". This is the name traditionally assigned to the repentant thief who was crucified beside Jesus."
332,Djehuti,m,Egyptian Mythology (Hypothetical),Djehuti m Egyptian Mythology (Hypothetical)Reconstructed Egyptian form of Thoth.
333,Doireann,f,Irish,"Doireann f Irish, Irish MythologyMeans ""sullen, tempestuous"" in Irish. This was the name of several characters in Irish legend, including a daughter of Bodb Derg who poisoned Fionn mac Cumhail."
334,Doirend,f,Irish Mythology,Doirend f Irish MythologyVariant of Doireann.
335,Donar,m,Germanic Mythology,Donar m Germanic MythologyContinental Germanic cognate of Þórr (see Thor).
336,Doris,f,English,"Doris f English, German, Croatian, Ancient Greek, Greek MythologyFrom the Greek name Δωρίς (Doris), which meant ""Dorian woman"". The Dorians were a Greek tribe who occupied the Peloponnese starting in the 12th century BC. In Greek mythology Doris was a sea nymph, one of the many children of Oceanus and Tethys. It began to be used as an English name in the 19th century. A famous bearer is the American actress Doris Day (1924-2019)."
337,Draupadi,f,Hinduism,"Draupadi f HinduismMeans ""daughter of Drupada"" in Sanskrit. In the Hindu epic the Mahabharata this is the name of the daughter of King Drupada. She married all of the Pandavas, the five sons of Pandu."
338,Drupada,m,Hinduism,"Drupada m HinduismMeans ""wooden pillar"" or ""firm footed"" in Sanskrit. In the Hindu epic the Mahabharata this is the name of a king of Panchala, the father of Draupadi and Dhrishtadyumna."
339,Dumuzi,m,Sumerian Mythology,"Dumuzi m Sumerian MythologyFrom Sumerian 𒌉 (dumu) meaning ""son, child"" and 𒍣 (zid) meaning ""true, loyal"". This was the name of a Sumerian god of shepherds and vegetation, the husband of Inanna. He was said to spend half of each year in the underworld, resulting in the yearly cycle of seasons. He was known to the Semitic peoples of Mesopotamia as Tammuz."
340,Dumuzid,m,Sumerian Mythology,Dumuzid m Sumerian MythologyVariant of Dumuzi.
341,Durga,f,Hinduism,"Durga f & m Hinduism, Indian, Hindi, Nepali, TeluguMeans ""unattainable"" in Sanskrit. Durga is a Hindu warrior goddess, the fierce, twelve-armed, three-eyed form of the wife of Shiva. She is considered an incarnation of Parvati."
342,Dushyanta,m,Hinduism,"Dushyanta m HinduismPossibly means ""destroyer of evil"" in Sanskrit. In Hindu legend this is the name of a king who is the husband of Shakuntala and the father of Bharata."
343,Dylan,m,Welsh,"Dylan m Welsh, English, Welsh MythologyFrom the Welsh elements dy meaning ""great"" and llanw meaning ""tide, flow"". In Welsh mythology Dylan was a god or hero associated with the sea. He was the son of Arianrhod and was accidentally slain by his uncle Govannon.... [more]"
344,Ea 1,m,Semitic Mythology,"Ea 1 m Semitic MythologyMeaning unknown, perhaps from Sumerian meaning ""house of water"", or perhaps of Akkadian or Hurrian origin. This was the Akkadian, Assyrian, Hurrian and Babylonian name of the Sumerian water god Enki."
345,Éber,m,Irish Mythology,Éber m Irish MythologyOld Irish form of Éibhear.
346,Echo,f,Greek Mythology,"Echo f Greek MythologyFrom the Greek word ἠχώ (echo) meaning ""echo, reflected sound"", related to ἠχή (eche) meaning ""sound"". In Greek mythology Echo was a nymph given a speech impediment by Hera, so that she could only repeat what others said. She fell in love with Narcissus, but her love was not returned, and she pined away until nothing remained of her except her voice."
347,Ehecatl,m,Aztec and Toltec Mythology,"Ehecatl m Aztec and Toltec Mythology, Indigenous American, NahuatlMeans ""wind"" in Nahuatl. Ehecatl was the name of the Aztec wind god."
348,Éibhear,m,Irish,"Éibhear m Irish, Irish MythologyMeaning unknown. According to Irish legend this name belonged to two of the sons of Míl, Éibhear Dunn and Éibhear Finn, the first of the Gaels to conquer Ireland."
349,Eigyr,f,Welsh Mythology,Eigyr f Welsh MythologyWelsh form of Igraine.
350,Eileithyia,f,Greek Mythology,Eileithyia f Greek MythologyGreek form of Ilithyia.
351,Éimhear,f,Irish,"Éimhear f Irish, Irish MythologyModern Irish form of Emer."
352,Eir,f,Norse Mythology,"Eir f Norse Mythology, Icelandic (Rare), Norwegian (Rare)Means ""mercy"" in Old Norse. This was the name of a Norse goddess of healing and medicine."
353,Eirene,f,Greek Mythology,"Eirene f Greek Mythology, Ancient GreekAncient Greek form of Irene."
354,El,m,Semitic Mythology,"El m Semitic MythologyFrom a Semitic root meaning ""god"". This was a title applied to several Semitic gods. The Canaanites used it as the name of their chief deity, the father of the gods and mankind. The Hebrews used it to refer to Yahweh."
355,Elagabalus,m,Semitic Mythology (Latinized),"Elagabalus m Semitic Mythology (Latinized)Latinized form of an Arabic name, derived from إله (ilah) meaning ""god"" and جبل (jabal) meaning ""mountain"". This was the name of a sun god worshipped in Emesa, in the Roman province of Syria. A 3rd-century Roman emperor, who served as a priest of this god in his youth in Syria, is known to history by the name Elagabalus. After ruling for four years he was assassinated at the age of 18, in part because he promoted the god to the head of the Roman pantheon."
356,Electra,f,Greek Mythology (Latinized),"Electra f Greek Mythology (Latinized)Latinized form of Greek Ἠλέκτρα (Elektra), derived from ἤλεκτρον (elektron) meaning ""amber"". In Greek myth she was the daughter of Agamemnon and Clytemnestra and the sister of Orestes. She helped her brother kill their mother and her lover Aegisthus in vengeance for Agamemnon's murder. Also in Greek mythology, this name was borne by one of the Pleiades, who were the daughters of Atlas and Pleione."
357,Elektra,f,Greek Mythology,Elektra f Greek MythologyGreek form of Electra.
358,Elil,m,Semitic Mythology,Elil m Semitic MythologyAkkadian form of Enlil.
359,Elissa 1,f,Roman Mythology,"Elissa 1 f Roman MythologyMeaning unknown (possibly Phoenician in origin). This is another name of Dido, the legendary queen of Carthage."
360,Elli 3,f,Norse Mythology,"Elli 3 f Norse MythologyMeans ""old age"" in Old Norse. In the Prose Edda this is the name of an old woman (old age personified) who wrestles with and defeats the god Thor."
361,Ellil,m,Semitic Mythology,Ellil m Semitic MythologyAkkadian form of Enlil.
362,Elpis,f,Ancient Greek,"Elpis f Ancient Greek, Greek MythologyMeans ""hope"" in Greek. In Greek mythology Elpis was the personification of hope. She was the last spirit to remain in the jar after Pandora unleashed the evils that were in it."
363,Embla,f,Norse Mythology,"Embla f Norse Mythology, Icelandic, Swedish, NorwegianMeaning uncertain, perhaps related to Old Norse almr ""elm"". In Norse mythology Embla and her husband Ask were the first humans. They were created by three of the gods from two trees."
364,Emer,f,Irish,"Emer f Irish, Irish MythologyPossibly from Irish eimh meaning ""swift"". In Irish legend she was the wife of Cúchulainn. She was said to possess the six gifts of womanhood: beauty, voice, speech, needlework, wisdom and chastity."
365,Endymion,m,Greek Mythology,"Endymion m Greek MythologyDerived from Greek ἐνδύω (endyo) meaning ""to dive into, to enter"". In Greek mythology he was an Aeolian mortal loved by the moon goddess Selene, who asked Zeus to grant him eternal life. Zeus complied by putting him into an eternal sleep in a cave on Mount Latmos."
366,Enid,f,Welsh,"Enid f Welsh, Welsh Mythology, Arthurian RomanceDerived from Welsh enaid meaning ""soul"" or ""life"". She is the wife of Geraint in Welsh legend and Arthurian romance."
367,Enki,m,Sumerian Mythology,"Enki m Sumerian MythologyFrom Sumerian 𒂗 (en) meaning ""lord"" and 𒆠 (ki) meaning ""earth, ground"" (though maybe originally from 𒆳 (kur) meaning ""underworld, mountain""). Enki, called Ea by the Akkadians, Assyrians and Babylonians, was the Sumerian god of water and wisdom and the keeper of the Me, the divine laws."
368,Enlil,m,Sumerian Mythology,"Enlil m Sumerian MythologyFrom Sumerian 𒂗 (en) meaning ""lord"" and possibly 𒆤 (lil) meaning ""wind"". Enlil was the Sumerian god of the wind and storms, the son of An and Ki. He was later worshipped by the Akkadians, Assyrians, Babylonians, and other Mesopotamian peoples."
369,Enyo,f,Greek Mythology,Enyo f Greek MythologyMeaning unknown. She was a bloodthirsty Greek war goddess and a companion of Ares.
370,Eógan,m,Ancient Irish,"Eógan m Ancient Irish, Irish MythologyOlder Irish form of Eoghan."
371,Eoghan,m,Irish,"Eoghan m Irish, Scottish, Irish MythologyPossibly means ""born from the yew tree"" in Irish, though it is possibly derived from Eugene. It was borne by several legendary or semi-legendary Irish figures, including a son of Niall of the Nine Hostages."
372,Eos,f,Greek Mythology,"Eos f Greek MythologyMeans ""dawn"" in Greek. This was the name of the Greek goddess of the dawn."
373,Epimetheus,m,Greek Mythology,"Epimetheus m Greek MythologyDerived from Greek ἐπιμήθεια (epimetheia) meaning ""hindsight, hindthought"". In Greek mythology he was a Titan, the brother of the god of forethought Prometheus."
374,Epona,f,Gaulish Mythology,"Epona f Gaulish MythologyDerived from Gaulish epos meaning ""horse"". This was the name of the Celtic goddess of horses."
375,Erato,f,Greek Mythology,"Erato f Greek MythologyMeans ""lovely"" in Greek. In Greek mythology she was one of the nine Muses, the muse of lyric poetry."
376,Erebos,m,Greek Mythology,Erebos m Greek MythologyGreek form of Erebus.
377,Erebus,m,Greek Mythology (Latinized),"Erebus m Greek Mythology (Latinized)Latinized form of the Greek Ἔρεβος (Erebos), which means ""nether darkness"". Erebus was the personification of the primordial darkness in Greek mythology."
378,Ereshkigal,f,Sumerian Mythology,"Ereshkigal f Sumerian MythologyMeans ""lady of the great earth"", from Sumerian 𒊩𒌆 (ereš) meaning ""lady, queen"" combined with 𒆠 (ki) meaning ""earth"" and 𒃲 (gal) meaning ""great, big"". In Sumerian mythology she was the goddess of death and the underworld."
379,Eris,f,Greek Mythology,"Eris f Greek MythologyMeans ""strife"" in Greek. In Greek mythology Eris was the goddess of discord. She was the sister and companion of Ares."
380,Ériu,f,Irish Mythology,"Ériu f Irish MythologyFrom the name of an Irish goddess, who according to legend gave her name to Ireland (which is called Éire in Irish). In reality, the goddess probably got her name from that of the island, which may mean something like ""abundant land"" in Old Irish."
381,Erna 2,f,Norse Mythology,"Erna 2 f Norse Mythology, Icelandic, Danish, Norwegian, SwedishMeans ""brisk, vigorous, hale"" in Old Norse. This was the name of the wife of Jarl in Norse legend."
382,Eros,m,Greek Mythology,"Eros m Greek MythologyMeans ""love"" in Greek. In Greek mythology he was a young god, the son of Aphrodite, who was armed with arrows that caused the victim to fall in love."
383,Étaín,f,Irish,"Étaín f Irish, Irish MythologyPossibly derived from Old Irish ét meaning ""jealousy"". In Irish mythology she is the subject of the 9th-century tale The Wooing of Étaín. She was the wife of Midir, but his jealous first wife Fuamnach transformed her into a fly. She was accidentally swallowed, and then reborn to the woman who swallowed her. After she grew again to adulthood she married the Irish high king Eochaid Airem, having no memory of Midir. Midir and Étaín were eventually reunited after Midir defeated Eochaid in a game of chess."
384,Etzel,m,Germanic Mythology,Etzel m Germanic MythologyForm of Attila used in the medieval German saga the Nibelungenlied. In the story Etzel is a fictional version of Attila the Hun.
385,Euadne,f,Greek Mythology,Euadne f Greek MythologyGreek form of Evadne.
386,Euandros,m,Greek Mythology,Euandros m Greek MythologyGreek form of Evander 1.
387,Euanthe,f,Ancient Greek,"Euanthe f Ancient Greek, Greek MythologyDerived from Greek εὐανθής (euanthes) meaning ""blooming, flowery"", a derivative of εὖ (eu) meaning ""good"" and ἄνθος (anthos) meaning ""flower"". According to some sources, this was the name of the mother of the three Graces or Χάριτες (Charites) in Greek mythology."
388,Eudora,f,Greek Mythology,"Eudora f Greek MythologyMeans ""good gift"" in Greek, from the elements εὖ (eu) meaning ""good"" and δῶρον (doron) meaning ""gift"". This was the name of a nymph, one of the Hyades, in Greek mythology."
389,Eunomia,f,Greek Mythology,"Eunomia f Greek MythologyMeans ""good order"" in Greek, ultimately from εὖ (eu) meaning ""good"" and νόμος (nomos) meaning ""law, custom"". Eunomia was a Greek goddess, one of the Ὥραι (Horai), presiding over law."
390,Euphrosyne,f,Greek Mythology,"Euphrosyne f Greek MythologyMeans ""mirth, merriment"" in Greek. She was one of the three Graces or Χάριτες (Charites) in Greek mythology."
391,Europa,f,Greek Mythology (Latinized),"Europa f Greek Mythology (Latinized)Latinized form of Greek Εὐρώπη (Europe), which meant ""wide face"" from εὐρύς (eurys) meaning ""wide"" and ὄψ (ops) meaning ""face, eye"". In Greek mythology Europa was a Phoenician princess who was abducted and taken to Crete by Zeus in the guise of a bull. She became the first queen of Crete, and later fathered Minos by Zeus. The continent of Europe is named for her. This is also the name of a moon of Jupiter."
392,Europe,f,Greek Mythology,Europe f Greek MythologyGreek form of Europa.
393,Euryalos,m,Greek Mythology,Euryalos m Greek MythologyGreek form of Euryalus.
394,Euryalus,m,Greek Mythology (Latinized),"Euryalus m Greek Mythology (Latinized), Roman MythologyFrom Greek Εὐρύαλος (Euryalos) meaning ""broad"". This name was borne by several figures in Greek legend. In Virgil's Aeneid it belongs to the friend of Nisus, with whom he is killed while raiding the Rutuli."
395,Eurydice,f,Greek Mythology (Latinized),"Eurydice f Greek Mythology (Latinized)From the Greek Εὐρυδίκη (Eurydike) meaning ""wide justice"", derived from εὐρύς (eurys) meaning ""wide"" and δίκη (dike) meaning ""justice"". In Greek myth she was the wife of Orpheus. Her husband tried to rescue her from Hades, but he failed when he disobeyed the condition that he not look back upon her on their way out."
396,Eurydike,f,Greek Mythology,Eurydike f Greek MythologyGreek form of Eurydice.
397,Euterpe,f,Greek Mythology,"Euterpe f Greek MythologyMeans ""delight"" in Greek, ultimately from εὖ (eu) meaning ""good"" and τέρπω (terpo) meaning ""to satisfy, to cheer"". In Greek mythology she was one of the nine Muses, the muse of music and joy. She was said to have invented the double flute."
398,Evadne,f,Greek Mythology (Latinized),"Evadne f Greek Mythology (Latinized)From Greek Εὐάδνη (Euadne), from εὖ (eu) meaning ""good"" possibly combined with Cretan Greek ἀδνός (adnos) meaning ""holy"". In Greek legend Evadne was the wife of Capaneus. After Capaneus was killed by a lightning bolt sent from Zeus she committed suicide by throwing herself onto his burning body."
399,Evander 1,m,Greek Mythology (Latinized),"Evander 1 m Greek Mythology (Latinized), Roman MythologyVariant of Evandrus, the Latin form of the Greek name Εὔανδρος (Euandros) meaning ""good of man"", derived from εὖ (eu) meaning ""good"" and ἀνήρ (aner) meaning ""man"" (genitive ἀνδρός). In Roman mythology Evander was an Arcadian hero of the Trojan War who founded the city of Pallantium near the spot where Rome was later built."
400,Evandrus,m,Roman Mythology,Evandrus m Roman MythologyLatin variant of Evander 1.
401,Fachtna,m,Irish,"Fachtna m Irish, Irish MythologyPerhaps means ""hostile"" in Irish. He was the husband of Neasa in Irish legend. Some versions of the legends also have him as the father of Conchobhar."
402,Fauna,f,Roman Mythology,"Fauna f Roman MythologyFeminine form of Faunus. Fauna was a Roman goddess of fertility, women and healing, a daughter and companion of Faunus."
403,Faunus,m,Roman Mythology,"Faunus m Roman MythologyPossibly means ""to befriend"" from Latin. Faunus was a Roman god of fertility, forests, and agriculture."
404,Fearghas,m,Irish,"Fearghas m Irish, Scottish, Irish MythologyMeans ""man of vigour"", derived from the Irish elements fear ""man"" and gus ""vigour"". This was the name of several characters in Irish legend including the Ulster hero Fearghas mac Róich."
405,Fedelm,f,Irish Mythology,Fedelm f Irish MythologyVariant of Feidelm.
406,Fedelmid,m,Ancient Irish,"Fedelmid m & f Ancient Irish, Irish MythologyVariant of Feidlimid."
407,Fedlimid,m,Ancient Irish,"Fedlimid m & f Ancient Irish, Irish MythologyVariant of Feidlimid."
408,Feidelm,f,Irish Mythology,"Feidelm f Irish MythologyPossibly a feminine form of Feidlimid. This name is borne by several women in Irish legend including Feidelm Noíchrothach, a daughter of Conchobhar the king of Ulster."
409,Feidlimid,m,Ancient Irish,"Feidlimid m & f Ancient Irish, Irish MythologyPossibly means ""beauty"" or ""ever good"" in Irish. This was the name of three early kings of Munster."
410,Felicitas,f,German,"Felicitas f German, Late Roman, Roman MythologyLatin name meaning ""good luck, fortune"". In Roman mythology the goddess Felicitas was the personification of good luck. It was borne by a 3rd-century saint, a slave martyred with her master Perpetua in Carthage."
411,Fenrir,m,Norse Mythology,"Fenrir m Norse MythologyFrom Old Norse fen meaning ""marsh, fen"". In Norse mythology Fenrir was a ferocious wolf, one of the offspring of Loki and the giantess Angrboða. Because it was foretold he would bring about disaster, the gods bound him with a magical fetter, though in the process Tyr's hand was bitten off. At the time of Ragnarök, the end of the world, it is told that he will break free and kill Odin."
412,Fereydoun,m,Persian,"Fereydoun m Persian, Persian MythologyMeans ""the third"" in Persian. In the 10th-century Persian epic the Shahnameh this is the name of a virtuous king who ruled for 500 years."
413,Fergus,m,Irish,"Fergus m Irish, Scottish, Irish MythologyAnglicized form of Fearghas."
414,Fiachra,m,Irish,"Fiachra m Irish, Irish MythologyDerived from Irish fiach meaning ""raven"". In Irish legend Fiachra was one of the four children of Lir transformed into swans for a period of 900 years. This is also the name of the patron saint of gardeners, a 7th-century Irish abbot who settled in France."
415,Finn 1,m,Irish Mythology,"Finn 1 m Irish Mythology, Irish, English, Dutch, GermanOlder Irish form of Fionn. This is also the usual Anglicized spelling of the name. As a surname it is borne by Huckleberry Finn, a character in Mark Twain's novels."
416,Finnguala,f,Irish,"Finnguala f Irish, Irish MythologyOlder form of Fionnuala."
417,Finnuala,f,Irish,"Finnuala f Irish, Irish MythologyVariant of Fionnuala."
